y,Diameter
3.7,2.5
3.8,2.5
3.9,2.5
4,2.5
4.1,2.5
4.2,2.5
4.3,2.5
4.4,2.5
4.5,2.5
4.6,2.5
4.7,2.5
4.8,2.5
4.9,2.5
5,2.5
5.1,2.5
5.2,2.5
5.3,2.5
5.4,2.5
5.5,2.5
5.6,2.5
5.7,2.5
5.8,2.5
5.9,2.5
5.6,0.5
5.7,0.5
5.8,0.5
5.9,0.5
5.65,0.5
5.75,0.5
5.85,0.5
5.95,0.5
6.1,0.5
6.2,0.5
6.3,0.5
6.4,0.5
6.05,0.5
6.5,0.5
6.6,0.5
6.7,0.5
6.8,0.5
6.9,0.5
6.15,0.5
6.25,0.5
6.35,0.5
6.45,0.5
6.55,0.5
6.65,0.5
6.75,0.5
6.85,0.5
6,0.5
4.3,1.5
4.4,1.5
4.5,1.5
4.6,1.5
4.7,1.5
4.8,1.5
4.9,1.5
5.1,1.5
5.2,1.5
5.3,1.5
5.4,1.5
5.5,1.5
5.6,1.5
5.7,1.5
5.8,1.5
5.9,1.5
5,1.5
6.1,1.5
6.2,1.5
6.3,1.5
6.4,1.5
6,1.5
4.7,1
4.8,1
4.9,1
5,1
5.1,1
5.2,1
5.3,1
5.4,1
5.5,1
5.6,1
5.7,1
5.8,1
5.9,1
6,1
6.1,1
6.2,1
6.3,1
6.4,1
6.5,1
6.6,1
6.65,1
4.1,2
4.2,2
4.3,2
4.4,2
4.5,2
4.6,2
4.7,2
4.8,2
4.9,2
4,2
5.1,2
5.2,2
5.3,2
5.4,2
5.5,2
5.6,2
5.7,2
5.8,2
5.9,2
5,2
6.1,2
6,2
3.2,3
3.3,3
3.4,3
3.5,3
3.6,3
3.7,3
3.8,3
3.9,3
4.1,3
4.2,3
4.3,3
4.4,3
4.5,3
4.6,3
4.7,3
4.8,3
4.9,3
4,3
5.1,3
5.2,3
5.3,3
5.4,3
5.5,3
5.6,3
5.65,3
5,3
